PainLocation,AgeGroup,Intensity,Capacity,RecommendedExercise,Frequency
Shoulder,Senior,Low,Beginner,Wall Push-ups,Weekly
Osteoporotic,Child,High,Intermediate,Tai Chi,Weekly
Shoulder,Senior,Low,Beginner,Wall Push-ups,Bi-Weekly
Ankle,Senior,Low,Beginner,Ankle Circles,Weekly
Back,Senior,High,Intermediate,Cat-Cow Stretch,Daily
Shoulder,Child,Medium,Intermediate,Arm Circles,Daily
Elbow,Child,High,Beginner,Resistance Band Curls,Daily
Back,Teen,Low,Advanced,Deadlifts,Bi-Weekly
Osteoporotic,Teen,High,Intermediate,Weight Training,Weekly
Knee,Teen,Medium,Advanced,Lunges,Daily
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Weekly
Back,Teen,Low,Beginner,Deadlifts,Weekly
Back,Teen,High,Advanced,Superman Exercise,Daily
PCOS,Senior,High,Beginner,Strength Training,Weekly
Knee,Teen,High,Beginner,Lunges,Weekly
PCOS,Teen,High,Beginner,Yoga,Weekly
Back,Child,Low,Beginner,Superman Exercise,Bi-Weekly
Knee,Adult,Low,Intermediate,Squats,Bi-Weekly
Knee,Adult,Medium,Advanced,Lunges,Daily
Ankle,Adult,Low,Intermediate,Toe Walks,Bi-Weekly
PCOS,Senior,Low,Beginner,Strength Training,Daily
Elbow,Senior,Medium,Intermediate,Tricep Dips,Bi-Weekly
Shoulder,Child,Medium,Intermediate,Shoulder Rolls,Weekly
Shoulder,Teen,Low,Intermediate,Shoulder Rolls,Daily
Neck,Teen,Low,Beginner,Neck Tilts,Daily
Elbow,Adult,High,Beginner,Wrist Flexor Stretch,Weekly
Neck,Adult,Low,Intermediate,Neck Rotations,Daily
Elbow,Adult,Low,Advanced,Resistance Band Curls,Weekly
Back,Teen,Low,Intermediate,Deadlifts,Daily
Neck,Child,Medium,Beginner,Shoulder Shrugs,Bi-Weekly
Neck,Adult,Low,Intermediate,Neck Tilts,Weekly
Elbow,Adult,Low,Intermediate,Tricep Dips,Weekly
Shoulder,Senior,High,Advanced,Arm Circles,Bi-Weekly
Elbow,Adult,High,Beginner,Resistance Band Curls,Bi-Weekly
PCOS,Teen,High,Beginner,Strength Training,Weekly
Shoulder,Adult,Medium,Advanced,Shoulder Rolls,Daily
Osteoporotic,Teen,High,Advanced,Weight Training,Bi-Weekly
Knee,Senior,Medium,Advanced,Squats,Weekly
Osteoporotic,Child,Low,Beginner,Weight Training,Weekly
Shoulder,Senior,Medium,Intermediate,Arm Circles,Daily
Osteoporotic,Senior,Medium,Advanced,Tai Chi,Daily
Osteoporotic,Teen,Low,Beginner,Tai Chi,Weekly
Elbow,Adult,High,Advanced,Tricep Dips,Bi-Weekly
PCOS,Senior,Low,Intermediate,Strength Training,Bi-Weekly
Knee,Teen,High,Intermediate,Leg Raises,Bi-Weekly
Shoulder,Adult,Low,Advanced,Wall Push-ups,Bi-Weekly
Ankle,Child,Medium,Advanced,Calf Raises,Weekly
PCOS,Child,Medium,Advanced,Yoga,Bi-Weekly
Back,Adult,High,Advanced,Superman Exercise,Daily
Neck,Senior,Low,Beginner,Neck Rotations,Daily
Elbow,Senior,Low,Advanced,Resistance Band Curls,Daily
Osteoporotic,Adult,High,Beginner,Tai Chi,Bi-Weekly
Ankle,Child,Medium,Beginner,Calf Raises,Weekly
Elbow,Child,Medium,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Knee,Teen,Medium,Beginner,Squats,Daily
Osteoporotic,Adult,Medium,Beginner,Balance Exercises,Bi-Weekly
Ankle,Child,Medium,Advanced,Toe Walks,Bi-Weekly
Neck,Child,Low,Advanced,Neck Tilts,Daily
Knee,Adult,Medium,Advanced,Squats,Daily
Knee,Adult,High,Intermediate,Leg Raises,Weekly
Osteoporotic,Senior,Low,Intermediate,Weight Training,Bi-Weekly
Osteoporotic,Teen,Low,Advanced,Weight Training,Bi-Weekly
Shoulder,Adult,Low,Intermediate,Wall Push-ups,Bi-Weekly
Back,Senior,Medium,Beginner,Cat-Cow Stretch,Daily
PCOS,Adult,Low,Intermediate,Yoga,Weekly
Shoulder,Teen,Low,Advanced,Arm Circles,Weekly
Neck,Child,Medium,Beginner,Neck Rotations,Weekly
PCOS,Senior,Low,Advanced,Cardio Exercises,Daily
Neck,Senior,Low,Intermediate,Shoulder Shrugs,Weekly
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Daily
Shoulder,Senior,Low,Beginner,Shoulder Rolls,Bi-Weekly
PCOS,Adult,High,Advanced,Yoga,Bi-Weekly
Osteoporotic,Child,Medium,Intermediate,Balance Exercises,Weekly
PCOS,Senior,High,Intermediate,Cardio Exercises,Daily
Ankle,Adult,Medium,Intermediate,Calf Raises,Weekly
PCOS,Adult,Low,Beginner,Yoga,Daily
PCOS,Child,Medium,Intermediate,Cardio Exercises,Weekly
Elbow,Adult,High,Intermediate,Tricep Dips,Weekly
PCOS,Adult,Low,Advanced,Yoga,Daily
Back,Child,Medium,Advanced,Cat-Cow Stretch,Daily
PCOS,Adult,Low,Beginner,Strength Training,Bi-Weekly
Neck,Adult,Medium,Beginner,Neck Rotations,Weekly
Ankle,Child,Low,Intermediate,Toe Walks,Daily
Elbow,Senior,Low,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Osteoporotic,Senior,Low,Advanced,Tai Chi,Weekly
Back,Senior,High,Intermediate,Cat-Cow Stretch,Bi-Weekly
Back,Adult,Medium,Intermediate,Superman Exercise,Weekly
Neck,Teen,High,Beginner,Shoulder Shrugs,Daily
Neck,Teen,High,Beginner,Shoulder Shrugs,Weekly
Back,Child,Low,Intermediate,Superman Exercise,Bi-Weekly
Neck,Adult,High,Advanced,Neck Rotations,Weekly
Ankle,Teen,Medium,Intermediate,Ankle Circles,Bi-Weekly
Knee,Adult,Medium,Advanced,Leg Raises,Daily
Knee,Senior,Medium,Advanced,Lunges,Bi-Weekly
Knee,Teen,High,Intermediate,Lunges,Weekly
Back,Adult,High,Beginner,Superman Exercise,Bi-Weekly
Back,Adult,High,Advanced,Cat-Cow Stretch,Weekly
Shoulder,Senior,Medium,Advanced,Shoulder Rolls,Daily
Neck,Adult,High,Intermediate,Shoulder Shrugs,Weekly
PCOS,Adult,High,Advanced,Yoga,Weekly
Knee,Senior,High,Beginner,Leg Raises,Weekly
Osteoporotic,Child,High,Intermediate,Tai Chi,Weekly
PCOS,Child,Low,Advanced,Yoga,Daily
Neck,Senior,Medium,Intermediate,Neck Rotations,Weekly
Osteoporotic,Child,Low,Beginner,Tai Chi,Bi-Weekly
Osteoporotic,Senior,High,Beginner,Weight Training,Weekly
Neck,Child,Medium,Beginner,Neck Rotations,Daily
PCOS,Teen,Low,Beginner,Yoga,Weekly
Osteoporotic,Adult,Low,Advanced,Balance Exercises,Bi-Weekly
Back,Senior,High,Intermediate,Superman Exercise,Daily
Knee,Senior,Low,Beginner,Lunges,Daily
Knee,Teen,Medium,Advanced,Squats,Weekly
Ankle,Adult,Low,Beginner,Calf Raises,Weekly
Shoulder,Adult,High,Advanced,Shoulder Rolls,Weekly
PCOS,Senior,High,Intermediate,Strength Training,Weekly
Shoulder,Child,Low,Beginner,Arm Circles,Bi-Weekly
Back,Teen,Medium,Advanced,Cat-Cow Stretch,Bi-Weekly
Ankle,Senior,Low,Beginner,Calf Raises,Weekly
Neck,Child,High,Beginner,Neck Rotations,Weekly
PCOS,Senior,Low,Advanced,Strength Training,Bi-Weekly
Elbow,Senior,High,Intermediate,Wrist Flexor Stretch,Daily
Shoulder,Child,Medium,Advanced,Wall Push-ups,Bi-Weekly
Shoulder,Adult,Medium,Advanced,Shoulder Rolls,Weekly
Back,Adult,Low,Advanced,Cat-Cow Stretch,Daily
Back,Child,Medium,Intermediate,Cat-Cow Stretch,Daily
Neck,Senior,High,Intermediate,Neck Tilts,Daily
Back,Adult,Low,Beginner,Superman Exercise,Weekly
Neck,Adult,Medium,Intermediate,Neck Rotations,Bi-Weekly
Osteoporotic,Adult,Low,Intermediate,Weight Training,Bi-Weekly
Elbow,Adult,Low,Intermediate,Resistance Band Curls,Weekly
Knee,Adult,High,Beginner,Leg Raises,Weekly
Osteoporotic,Teen,Low,Advanced,Balance Exercises,Daily
Osteoporotic,Senior,High,Intermediate,Weight Training,Weekly
PCOS,Teen,High,Advanced,Strength Training,Bi-Weekly
Neck,Adult,Low,Advanced,Neck Rotations,Weekly
Back,Adult,Low,Intermediate,Deadlifts,Daily
Osteoporotic,Teen,High,Advanced,Weight Training,Daily
Knee,Senior,High,Advanced,Squats,Bi-Weekly
Knee,Teen,Medium,Advanced,Lunges,Bi-Weekly
PCOS,Teen,High,Beginner,Strength Training,Bi-Weekly
Knee,Child,Medium,Advanced,Squats,Daily
Neck,Child,Medium,Beginner,Neck Rotations,Weekly
Knee,Senior,High,Beginner,Squats,Daily
Ankle,Senior,High,Intermediate,Toe Walks,Daily
Ankle,Adult,High,Intermediate,Toe Walks,Daily
PCOS,Senior,Medium,Intermediate,Cardio Exercises,Daily
Elbow,Teen,High,Intermediate,Resistance Band Curls,Weekly
PCOS,Adult,Medium,Intermediate,Cardio Exercises,Weekly
Back,Teen,High,Beginner,Deadlifts,Daily
Shoulder,Adult,Medium,Intermediate,Arm Circles,Daily
Knee,Senior,Low,Beginner,Squats,Daily
Knee,Teen,Low,Beginner,Leg Raises,Bi-Weekly
Back,Teen,Low,Beginner,Deadlifts,Weekly
Osteoporotic,Child,Low,Intermediate,Balance Exercises,Daily
Elbow,Senior,High,Advanced,Tricep Dips,Bi-Weekly
Shoulder,Child,High,Beginner,Wall Push-ups,Bi-Weekly
PCOS,Teen,Medium,Advanced,Yoga,Weekly
Ankle,Senior,Medium,Advanced,Toe Walks,Weekly
Knee,Adult,High,Intermediate,Leg Raises,Bi-Weekly
Ankle,Senior,Low,Beginner,Calf Raises,Weekly
Back,Adult,Medium,Beginner,Cat-Cow Stretch,Daily
Ankle,Senior,Medium,Beginner,Toe Walks,Weekly
PCOS,Senior,Low,Advanced,Cardio Exercises,Daily
Knee,Adult,Low,Advanced,Leg Raises,Weekly
Neck,Child,High,Beginner,Neck Tilts,Bi-Weekly
Ankle,Adult,Low,Advanced,Ankle Circles,Daily
Osteoporotic,Adult,Medium,Intermediate,Weight Training,Daily
Ankle,Teen,Medium,Advanced,Toe Walks,Bi-Weekly
Neck,Child,Medium,Advanced,Neck Rotations,Bi-Weekly
Elbow,Teen,Medium,Intermediate,Resistance Band Curls,Weekly
Ankle,Child,High,Beginner,Calf Raises,Daily
Elbow,Child,High,Intermediate,Resistance Band Curls,Weekly
Knee,Adult,High,Intermediate,Leg Raises,Daily
Shoulder,Teen,Low,Advanced,Wall Push-ups,Daily
Neck,Adult,Medium,Beginner,Neck Rotations,Daily
PCOS,Child,High,Advanced,Strength Training,Daily
Back,Child,High,Advanced,Deadlifts,Weekly
Ankle,Teen,High,Advanced,Ankle Circles,Bi-Weekly
Shoulder,Adult,High,Advanced,Wall Push-ups,Daily
Elbow,Senior,High,Advanced,Resistance Band Curls,Weekly
Elbow,Senior,Low,Beginner,Tricep Dips,Bi-Weekly
Knee,Senior,Low,Beginner,Lunges,Daily
Shoulder,Teen,Low,Advanced,Arm Circles,Daily
Knee,Teen,Low,Advanced,Squats,Bi-Weekly
Neck,Child,High,Advanced,Neck Rotations,Bi-Weekly
PCOS,Child,High,Advanced,Yoga,Bi-Weekly
PCOS,Senior,Low,Intermediate,Cardio Exercises,Daily
Elbow,Teen,High,Advanced,Wrist Flexor Stretch,Weekly
Shoulder,Child,High,Intermediate,Wall Push-ups,Daily
Elbow,Senior,Low,Advanced,Wrist Flexor Stretch,Bi-Weekly
Neck,Senior,High,Advanced,Shoulder Shrugs,Weekly
Back,Teen,High,Beginner,Cat-Cow Stretch,Daily
Knee,Adult,Medium,Beginner,Squats,Daily
Back,Teen,Medium,Beginner,Superman Exercise,Bi-Weekly
Neck,Senior,Low,Advanced,Neck Tilts,Bi-Weekly
Ankle,Senior,Low,Intermediate,Calf Raises,Weekly
PCOS,Adult,Medium,Advanced,Yoga,Daily
Ankle,Teen,Medium,Beginner,Toe Walks,Bi-Weekly
Back,Child,Low,Intermediate,Deadlifts,Bi-Weekly
Shoulder,Adult,Medium,Advanced,Arm Circles,Weekly
Osteoporotic,Senior,Low,Advanced,Weight Training,Daily
Back,Senior,Low,Intermediate,Deadlifts,Bi-Weekly
Back,Adult,Low,Beginner,Superman Exercise,Daily
Knee,Child,High,Intermediate,Leg Raises,Daily
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Bi-Weekly
Neck,Senior,Medium,Beginner,Neck Tilts,Weekly
Ankle,Senior,High,Intermediate,Ankle Circles,Daily
Ankle,Child,Low,Beginner,Toe Walks,Daily
Elbow,Teen,High,Advanced,Wrist Flexor Stretch,Weekly
PCOS,Teen,Medium,Beginner,Cardio Exercises,Bi-Weekly
Neck,Senior,High,Intermediate,Neck Tilts,Bi-Weekly
PCOS,Adult,Low,Advanced,Cardio Exercises,Weekly
Ankle,Teen,Low,Intermediate,Ankle Circles,Bi-Weekly
Knee,Teen,Low,Advanced,Squats,Weekly
Knee,Senior,Medium,Intermediate,Squats,Daily
Back,Adult,High,Beginner,Cat-Cow Stretch,Bi-Weekly
Osteoporotic,Child,Medium,Intermediate,Weight Training,Weekly
PCOS,Senior,Medium,Advanced,Cardio Exercises,Bi-Weekly
Neck,Senior,High,Beginner,Neck Tilts,Weekly
Neck,Adult,High,Intermediate,Shoulder Shrugs,Daily
Osteoporotic,Child,Medium,Beginner,Weight Training,Daily
Osteoporotic,Adult,Low,Advanced,Tai Chi,Bi-Weekly
Shoulder,Senior,Low,Intermediate,Wall Push-ups,Weekly
Ankle,Teen,Low,Advanced,Ankle Circles,Bi-Weekly
Neck,Child,High,Beginner,Neck Tilts,Bi-Weekly
Shoulder,Senior,Medium,Beginner,Shoulder Rolls,Daily
Ankle,Adult,Medium,Intermediate,Ankle Circles,Weekly
Back,Senior,Low,Beginner,Cat-Cow Stretch,Daily
Knee,Senior,Low,Intermediate,Lunges,Daily
PCOS,Teen,Low,Advanced,Strength Training,Daily
Osteoporotic,Teen,Low,Beginner,Tai Chi,Bi-Weekly
Elbow,Child,Low,Intermediate,Tricep Dips,Weekly
Elbow,Senior,Low,Advanced,Tricep Dips,Weekly
PCOS,Adult,Medium,Intermediate,Strength Training,Daily
Knee,Child,High,Intermediate,Leg Raises,Bi-Weekly
Osteoporotic,Teen,Low,Intermediate,Balance Exercises,Weekly
Ankle,Senior,High,Advanced,Ankle Circles,Daily
Elbow,Senior,Low,Beginner,Resistance Band Curls,Bi-Weekly
Ankle,Teen,High,Intermediate,Calf Raises,Weekly
Shoulder,Teen,Medium,Intermediate,Arm Circles,Daily
Neck,Senior,High,Intermediate,Neck Tilts,Weekly
Back,Senior,Low,Beginner,Superman Exercise,Weekly
Osteoporotic,Adult,Medium,Intermediate,Tai Chi,Bi-Weekly
PCOS,Senior,High,Beginner,Cardio Exercises,Bi-Weekly
Back,Adult,High,Intermediate,Cat-Cow Stretch,Weekly
PCOS,Senior,Medium,Beginner,Yoga,Bi-Weekly
Back,Child,Medium,Beginner,Cat-Cow Stretch,Daily
PCOS,Adult,High,Advanced,Yoga,Daily
PCOS,Adult,Medium,Advanced,Cardio Exercises,Weekly
Shoulder,Senior,Low,Intermediate,Shoulder Rolls,Daily
Shoulder,Teen,Medium,Beginner,Shoulder Rolls,Weekly
Osteoporotic,Senior,Medium,Intermediate,Weight Training,Daily
PCOS,Adult,High,Beginner,Strength Training,Weekly
Back,Child,High,Beginner,Superman Exercise,Bi-Weekly
Knee,Senior,High,Beginner,Squats,Weekly
Back,Senior,Low,Intermediate,Superman Exercise,Bi-Weekly
Shoulder,Teen,Medium,Beginner,Arm Circles,Weekly
Knee,Adult,Medium,Beginner,Squats,Bi-Weekly
Neck,Adult,Low,Advanced,Neck Tilts,Daily
Neck,Teen,Low,Advanced,Neck Tilts,Weekly
Knee,Senior,Low,Advanced,Lunges,Daily
Back,Teen,High,Advanced,Superman Exercise,Bi-Weekly
Back,Teen,Low,Advanced,Superman Exercise,Bi-Weekly
Shoulder,Teen,Low,Beginner,Arm Circles,Bi-Weekly
Osteoporotic,Child,Medium,Advanced,Weight Training,Daily
Elbow,Teen,Medium,Beginner,Wrist Flexor Stretch,Daily
Knee,Child,Low,Beginner,Squats,Weekly
Neck,Child,Low,Advanced,Shoulder Shrugs,Daily
Knee,Teen,High,Advanced,Squats,Weekly
Knee,Teen,Low,Beginner,Lunges,Weekly
PCOS,Teen,High,Advanced,Cardio Exercises,Daily
Shoulder,Teen,Medium,Beginner,Shoulder Rolls,Daily
Back,Teen,Medium,Beginner,Cat-Cow Stretch,Bi-Weekly
Elbow,Child,Medium,Beginner,Resistance Band Curls,Weekly
Ankle,Child,Medium,Beginner,Ankle Circles,Daily
Knee,Teen,Low,Advanced,Squats,Daily
Shoulder,Child,High,Intermediate,Wall Push-ups,Bi-Weekly
Knee,Senior,Medium,Beginner,Squats,Daily
Ankle,Teen,High,Beginner,Calf Raises,Daily
Knee,Child,High,Advanced,Squats,Daily
PCOS,Senior,Low,Advanced,Yoga,Weekly
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Weekly
Osteoporotic,Adult,Low,Advanced,Weight Training,Weekly
Knee,Teen,Low,Advanced,Squats,Daily
Shoulder,Teen,High,Advanced,Wall Push-ups,Weekly
Back,Senior,Low,Beginner,Cat-Cow Stretch,Weekly
Neck,Teen,High,Intermediate,Neck Tilts,Daily
Back,Child,Low,Intermediate,Deadlifts,Daily
Osteoporotic,Adult,Medium,Beginner,Balance Exercises,Daily
Elbow,Senior,High,Intermediate,Wrist Flexor Stretch,Daily
Neck,Adult,Low,Advanced,Shoulder Shrugs,Daily
Knee,Senior,High,Advanced,Lunges,Daily
Shoulder,Teen,High,Advanced,Shoulder Rolls,Daily
PCOS,Child,Medium,Intermediate,Yoga,Daily
Knee,Teen,High,Advanced,Lunges,Bi-Weekly
Elbow,Teen,Medium,Intermediate,Resistance Band Curls,Weekly
Elbow,Child,High,Advanced,Wrist Flexor Stretch,Weekly
Shoulder,Teen,Medium,Beginner,Shoulder Rolls,Daily
Neck,Senior,Medium,Intermediate,Neck Rotations,Bi-Weekly
Elbow,Teen,Medium,Advanced,Resistance Band Curls,Weekly
Back,Senior,Medium,Advanced,Superman Exercise,Bi-Weekly
Osteoporotic,Senior,Medium,Intermediate,Weight Training,Daily
Osteoporotic,Senior,Medium,Intermediate,Balance Exercises,Daily
Osteoporotic,Teen,Low,Intermediate,Tai Chi,Daily
Shoulder,Child,Low,Advanced,Arm Circles,Weekly
Shoulder,Adult,Medium,Intermediate,Arm Circles,Bi-Weekly
Elbow,Adult,Low,Intermediate,Tricep Dips,Weekly
Shoulder,Teen,Low,Beginner,Arm Circles,Daily
Ankle,Child,Low,Advanced,Toe Walks,Weekly
Neck,Teen,High,Intermediate,Neck Tilts,Weekly
Ankle,Teen,Low,Advanced,Toe Walks,Weekly
Shoulder,Child,Medium,Intermediate,Shoulder Rolls,Bi-Weekly
Osteoporotic,Child,Medium,Intermediate,Tai Chi,Daily
Ankle,Senior,Low,Intermediate,Ankle Circles,Bi-Weekly
Neck,Teen,Low,Intermediate,Neck Tilts,Weekly
PCOS,Adult,Low,Beginner,Yoga,Bi-Weekly
Osteoporotic,Child,High,Beginner,Weight Training,Bi-Weekly
PCOS,Teen,Medium,Beginner,Cardio Exercises,Weekly
Osteoporotic,Adult,High,Intermediate,Balance Exercises,Daily
Elbow,Child,Low,Advanced,Tricep Dips,Daily
Neck,Adult,High,Beginner,Neck Tilts,Weekly
Elbow,Senior,High,Advanced,Tricep Dips,Daily
Shoulder,Child,Low,Intermediate,Arm Circles,Weekly
Shoulder,Child,High,Beginner,Shoulder Rolls,Bi-Weekly
Elbow,Senior,Medium,Intermediate,Wrist Flexor Stretch,Daily
Osteoporotic,Senior,Medium,Intermediate,Weight Training,Weekly
Osteoporotic,Senior,Medium,Beginner,Weight Training,Weekly
Neck,Senior,Low,Advanced,Neck Tilts,Weekly
Back,Senior,Medium,Advanced,Deadlifts,Daily
PCOS,Child,High,Advanced,Yoga,Weekly
Knee,Senior,High,Beginner,Squats,Bi-Weekly
Back,Adult,Medium,Intermediate,Superman Exercise,Weekly
Neck,Senior,High,Intermediate,Neck Tilts,Daily
Shoulder,Senior,Medium,Advanced,Wall Push-ups,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Tai Chi,Bi-Weekly
Ankle,Teen,High,Intermediate,Ankle Circles,Bi-Weekly
Ankle,Child,Low,Intermediate,Calf Raises,Daily
PCOS,Senior,Medium,Advanced,Strength Training,Bi-Weekly
PCOS,Child,Low,Advanced,Yoga,Bi-Weekly
PCOS,Child,Low,Beginner,Strength Training,Weekly
Knee,Child,Low,Advanced,Leg Raises,Weekly
Shoulder,Child,High,Beginner,Shoulder Rolls,Weekly
Back,Teen,High,Beginner,Deadlifts,Daily
Elbow,Senior,Low,Beginner,Resistance Band Curls,Weekly
Ankle,Child,Medium,Advanced,Toe Walks,Weekly
Neck,Teen,Low,Beginner,Neck Rotations,Daily
Osteoporotic,Child,Medium,Beginner,Weight Training,Bi-Weekly
Ankle,Adult,High,Beginner,Toe Walks,Bi-Weekly
Osteoporotic,Senior,Low,Intermediate,Weight Training,Bi-Weekly
Back,Senior,Low,Beginner,Cat-Cow Stretch,Daily
Back,Senior,High,Beginner,Cat-Cow Stretch,Daily
Back,Senior,High,Advanced,Superman Exercise,Weekly
Shoulder,Senior,High,Intermediate,Arm Circles,Daily
Ankle,Child,Low,Advanced,Toe Walks,Weekly
Shoulder,Child,Low,Advanced,Shoulder Rolls,Daily
Neck,Senior,Medium,Beginner,Shoulder Shrugs,Weekly
Back,Teen,Low,Beginner,Deadlifts,Daily
Ankle,Senior,Medium,Beginner,Calf Raises,Daily
Elbow,Adult,High,Intermediate,Wrist Flexor Stretch,Weekly
Shoulder,Child,Medium,Intermediate,Shoulder Rolls,Daily
Ankle,Senior,High,Advanced,Calf Raises,Bi-Weekly
PCOS,Teen,High,Beginner,Cardio Exercises,Daily
Knee,Senior,Medium,Beginner,Lunges,Weekly
Neck,Adult,High,Advanced,Neck Rotations,Weekly
Back,Adult,High,Advanced,Superman Exercise,Weekly
Shoulder,Teen,Low,Advanced,Shoulder Rolls,Bi-Weekly
Ankle,Senior,Low,Beginner,Toe Walks,Weekly
Knee,Senior,Low,Intermediate,Leg Raises,Weekly
Shoulder,Child,High,Beginner,Arm Circles,Weekly
Back,Senior,Medium,Beginner,Deadlifts,Weekly
Ankle,Adult,Medium,Beginner,Toe Walks,Bi-Weekly
Osteoporotic,Senior,High,Advanced,Weight Training,Bi-Weekly
Osteoporotic,Adult,High,Advanced,Tai Chi,Weekly
Ankle,Child,Low,Intermediate,Calf Raises,Weekly
Back,Adult,High,Advanced,Superman Exercise,Daily
Osteoporotic,Teen,Low,Advanced,Balance Exercises,Daily
Knee,Teen,High,Intermediate,Leg Raises,Weekly
Osteoporotic,Adult,Medium,Intermediate,Weight Training,Weekly
Knee,Teen,Medium,Advanced,Leg Raises,Daily
Ankle,Child,High,Intermediate,Ankle Circles,Weekly
Neck,Adult,High,Intermediate,Neck Rotations,Daily
Osteoporotic,Teen,Low,Intermediate,Tai Chi,Bi-Weekly
Neck,Senior,Medium,Intermediate,Neck Tilts,Bi-Weekly
Neck,Adult,Medium,Advanced,Neck Tilts,Weekly
Back,Adult,Medium,Advanced,Deadlifts,Bi-Weekly
PCOS,Senior,Low,Beginner,Strength Training,Weekly
Neck,Senior,Low,Intermediate,Shoulder Shrugs,Weekly
Shoulder,Senior,Medium,Advanced,Wall Push-ups,Weekly
Ankle,Senior,Low,Advanced,Ankle Circles,Weekly
Back,Teen,High,Beginner,Superman Exercise,Weekly
Elbow,Teen,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Shoulder,Teen,Low,Advanced,Wall Push-ups,Bi-Weekly
Elbow,Child,Low,Intermediate,Resistance Band Curls,Daily
Ankle,Teen,Medium,Advanced,Ankle Circles,Daily
Back,Child,Medium,Intermediate,Cat-Cow Stretch,Daily
Shoulder,Teen,High,Advanced,Wall Push-ups,Weekly
Ankle,Senior,Medium,Advanced,Toe Walks,Bi-Weekly
Ankle,Child,Low,Intermediate,Calf Raises,Weekly
Neck,Senior,Medium,Intermediate,Neck Rotations,Daily
Knee,Teen,Medium,Intermediate,Leg Raises,Bi-Weekly
Back,Teen,Low,Intermediate,Superman Exercise,Weekly
PCOS,Adult,Medium,Advanced,Strength Training,Daily
PCOS,Senior,Medium,Intermediate,Strength Training,Bi-Weekly
Osteoporotic,Senior,Medium,Intermediate,Balance Exercises,Daily
Shoulder,Child,Low,Advanced,Arm Circles,Weekly
Elbow,Adult,Medium,Intermediate,Resistance Band Curls,Bi-Weekly
Elbow,Senior,High,Beginner,Resistance Band Curls,Daily
Elbow,Adult,Low,Intermediate,Wrist Flexor Stretch,Weekly
Shoulder,Child,Low,Beginner,Shoulder Rolls,Bi-Weekly
PCOS,Senior,Low,Advanced,Yoga,Daily
Back,Teen,Medium,Intermediate,Deadlifts,Weekly
Elbow,Adult,High,Intermediate,Tricep Dips,Bi-Weekly
Knee,Teen,Low,Beginner,Lunges,Weekly
Knee,Child,Low,Intermediate,Leg Raises,Weekly
Knee,Adult,High,Intermediate,Lunges,Daily
Back,Child,High,Advanced,Deadlifts,Bi-Weekly
Ankle,Adult,Low,Intermediate,Calf Raises,Bi-Weekly
Shoulder,Child,Medium,Beginner,Shoulder Rolls,Daily
PCOS,Teen,Medium,Beginner,Yoga,Bi-Weekly
Knee,Senior,Medium,Advanced,Squats,Weekly
Shoulder,Teen,Low,Beginner,Shoulder Rolls,Daily
Shoulder,Senior,Low,Beginner,Wall Push-ups,Weekly
Knee,Adult,Medium,Advanced,Lunges,Weekly
Shoulder,Child,Low,Advanced,Wall Push-ups,Weekly
Ankle,Teen,High,Advanced,Calf Raises,Daily
Elbow,Teen,Low,Beginner,Tricep Dips,Bi-Weekly
Shoulder,Teen,Low,Intermediate,Arm Circles,Weekly
Shoulder,Senior,High,Advanced,Wall Push-ups,Bi-Weekly
Elbow,Child,Medium,Advanced,Wrist Flexor Stretch,Daily
Ankle,Adult,High,Advanced,Calf Raises,Daily
Ankle,Adult,High,Beginner,Calf Raises,Weekly
PCOS,Senior,High,Intermediate,Strength Training,Daily
Shoulder,Adult,Low,Intermediate,Shoulder Rolls,Bi-Weekly
Shoulder,Adult,High,Advanced,Shoulder Rolls,Weekly
Osteoporotic,Adult,High,Advanced,Weight Training,Weekly
Osteoporotic,Child,Low,Intermediate,Tai Chi,Daily
PCOS,Adult,Low,Advanced,Cardio Exercises,Daily
Back,Senior,Medium,Advanced,Cat-Cow Stretch,Daily
PCOS,Teen,High,Advanced,Cardio Exercises,Daily
Shoulder,Senior,High,Advanced,Arm Circles,Weekly
Elbow,Child,Low,Advanced,Tricep Dips,Weekly
Neck,Child,High,Advanced,Shoulder Shrugs,Daily
Shoulder,Adult,Medium,Intermediate,Wall Push-ups,Daily
Osteoporotic,Adult,Medium,Intermediate,Tai Chi,Bi-Weekly
Knee,Child,High,Beginner,Squats,Bi-Weekly
PCOS,Child,Low,Intermediate,Yoga,Weekly
Knee,Child,Medium,Beginner,Squats,Bi-Weekly
Ankle,Teen,Low,Advanced,Calf Raises,Weekly
PCOS,Adult,Low,Beginner,Cardio Exercises,Daily
Knee,Child,High,Advanced,Lunges,Bi-Weekly
Knee,Senior,Medium,Beginner,Leg Raises,Bi-Weekly
Neck,Teen,Medium,Intermediate,Neck Tilts,Daily
Knee,Adult,Medium,Advanced,Leg Raises,Bi-Weekly
Shoulder,Child,Low,Beginner,Shoulder Rolls,Bi-Weekly
Osteoporotic,Adult,Low,Beginner,Tai Chi,Weekly
